   SNAP_ID INSTANCE_NUMBER SGA_TARGET_GB SIZE_FACTOR ESTD_PHYSICAL_READS LEAD_READ_DIFF
---------- --------------- ------------- ----------- ------------------- --------------
cell_offload_processing                                          TRUE
circuits
client_result_cache_lag                                          3000
client_result_cache_size                                         0
clonedb                                                          FALSE
cluster_database                                                 TRUE
cluster_database_instances                                       2
commit_logging
commit_point_strength                                            1
commit_wait
commit_write
compatible                                                       11.2.0.3
control_file_record_keep_time                                    14
control_files                                                    +PHPPRD_DATA/phpprd/controlfile/control01.ctl, +PHPPRD_REDO/phpprd/controlfile/control02.ctl
control_management_pack_access                                   DIAGNOSTIC+TUNING
core_dump_dest                                                   /d01/app/biprd/admin/PHPPRD/cdump
cpu_count                                                        8
create_bitmap_area_size                                          8388608
create_stored_outlines
cursor_bind_capture_destination                                  memory+disk
cursor_sharing                                                   EXACT
cursor_space_for_time                                            FALSE
db_16k_cache_size                                                0
db_2k_cache_size                                                 0
db_32k_cache_size                                                0
db_4k_cache_size                                                 0
db_8k_cache_size                                                 0
db_block_buffers                                                 0
db_block_checking                                                FALSE
db_block_checksum                                                TYPICAL
db_block_size                                                    8192
db_cache_advice                                                  ON
db_cache_size                                                    0
db_create_file_dest
db_create_online_log_dest_1                                      +PHPPRD_REDO
db_create_online_log_dest_2
db_create_online_log_dest_3
db_create_online_log_dest_4
db_create_online_log_dest_5
db_file_multiblock_read_count                                    16
db_file_name_convert
db_files                                                         200
db_flash_cache_file
db_flash_cache_size                                              0
db_flashback_retention_target                                    1440
db_keep_cache_size                                               0
db_lost_write_protect                                            NONE
db_name                                                          PHPPRD
db_recovery_file_dest
db_recovery_file_dest_size                                       0
db_recycle_cache_size                                            0
db_securefile                                                    PERMITTED
db_ultra_safe                                                    OFF
db_unique_name                                                   PHPPRD
db_unrecoverable_scn_tracking                                    TRUE
db_writer_processes                                              1
dbwr_io_slaves                                                   0
ddl_lock_timeout                                                 0
deferred_segment_creation                                        TRUE
dg_broker_config_file1                                           /d01/app/biprd/product/11.2.0/db_1/dbs/dr1PHPPRD.dat
dg_broker_config_file2                                           /d01/app/biprd/product/11.2.0/db_1/dbs/dr2PHPPRD.dat
dg_broker_start                                                  FALSE
diagnostic_dest                                                  /d01/app/biprd
disk_asynch_io                                                   TRUE
dispatchers                                                      (PROTOCOL=TCP) (SERVICE=PHPPRDXDB)
distributed_lock_timeout                                         60
dml_locks                                                        6720
dst_upgrade_insert_conv                                          TRUE
enable_ddl_logging                                               FALSE
event
fal_client                                                       PHPPRD_STBY
fal_server                                                       PHPPRD_PRIM
fast_start_io_target                                             0
fast_start_mttr_target                                           300
fast_start_parallel_rollback                                     LOW
file_mapping                                                     FALSE
fileio_network_adapters
filesystemio_options                                             asynch
fixed_date
gcs_server_processes                                             2
global_context_pool_size
global_names                                                     FALSE
global_txn_processes                                             1
hash_area_size                                                   131072
hi_shared_memory_address                                         0
hs_autoregister                                                  TRUE
ifile
instance_groups
instance_name                                                    PHPPRD2
instance_number                                                  2
instance_type                                                    RDBMS
java_jit_enabled                                                 TRUE
java_max_sessionspace_size                                       0
java_pool_size                                                   0
java_soft_sessionspace_limit                                     0
job_queue_processes                                              10
large_pool_size                                                  50331648
ldap_directory_access                                            NONE
ldap_directory_sysauth                                           no
license_max_sessions                                             0
license_max_users                                                0
license_sessions_warning                                         0
listener_networks
lock_name_space
lock_sga                                                         FALSE
log_archive_config
log_archive_dest
log_archive_dest_1                                               LOCATION=+PHPPRD_ARCH
log_archive_dest_10
log_archive_dest_11
log_archive_dest_12
log_archive_dest_13
log_archive_dest_14
log_archive_dest_15
log_archive_dest_16
log_archive_dest_17
log_archive_dest_18
log_archive_dest_19
log_archive_dest_2                                               service=PHPPRD_STBY LGWR ASYNC NOAFFIRM delay=0 OPTIONAL max_failure=10 max_connections=1 reopen=15 db_unique_name=PHPPRD register net_timeout=180 valid_for=(online_logfile ,primary_role)
log_archive_dest_20
log_archive_dest_21
log_archive_dest_22
log_archive_dest_23
log_archive_dest_24
log_archive_dest_25
log_archive_dest_26
log_archive_dest_27
log_archive_dest_28
log_archive_dest_29
log_archive_dest_3
log_archive_dest_30
log_archive_dest_31
